Metric,Value
Date,2025-11-27
TotalSpins,560
TotalSuerteProxima,355

PrizeID,PrizeName,Delivered
TAZAS,TAZAS PERSONALIZADAS,40
BOMBILLOS,BOMBILLOS PERSONALIZADOS,80
SUPEREXITO-20,OC SUPER ÉXITO $20,5
DMUJERES-20,OC DMUJERES $20,2
KRISPYKREME,OC KRISPY KREME,20
TRIODONAS,TRIO DE DONAS,8
ENTRADASCINE,ENTRADAS AL CINE,25
PARRILLAASADORA,PARRILLA ASADORA,1
BATIDORAMANO,BATIDORA DE MANO,1
GRANDDUVALBLANCO375CC,GRAND DUVAL BLANCO 375CC,5
MONTSANT,MONTSANT,10
SIDRAL,SIDRAL,8
SUERTEPROXIMA,SUERTE PARA LA PRÓXIMA,355
