date,prizeId,qty
2025-11-20,TAZAS,40
2025-11-20,BOMBILLOS,85
2025-11-20,SUPEREXITO-20,5
2025-11-20,SUPEREXITO-25,0
2025-11-20,DMUJERES-20,2
2025-11-20,POLIPAPEL-10,0
2025-11-20,KRISPYKREME,20
2025-11-20,TRIODONAS,8
2025-11-20,ENTRADASCINE,25
2025-11-20,PARRILLAASADORA,1
2025-11-20,AIRFRYER,0
2025-11-20,LICUADORA,0
2025-11-20,SANDUCHERA,1
2025-11-20,OLLAARROCERA,0
2025-11-20,CAFETERA,0
2025-11-20,BATIDORAMANO,0
2025-11-20,PARRILLASANDUCHERA,0
2025-11-20,SPLIT,0
2025-11-20,TV65,0
2025-11-20,TV55,0
2025-11-20,PARLANTERECARGABLE,0
2025-11-20,CELULARREDNI,0
2025-11-20,REFRIGERADORA,0
2025-11-20,MIMOSAFRUTOSROJOS,0
2025-11-20,GRANDDUVALBLANCO375CC,0
2025-11-20,GRANDDUVAL750CC,5
2025-11-20,MONTSANT,10
2025-11-20,SIDRAL,0
2025-11-20,SUERTEPROXIMA,500
2025-11-21,TAZAS,40
2025-11-21,BOMBILLOS,80
2025-11-21,SUPEREXITO-20,5
2025-11-21,SUPEREXITO-25,0
2025-11-21,DMUJERES-20,2
2025-11-21,POLIPAPEL-10,0
2025-11-21,KRISPYKREME,20
2025-11-21,TRIODONAS,8
2025-11-21,ENTRADASCINE,25
2025-11-21,PARRILLAASADORA,1
2025-11-21,AIRFRYER,0
2025-11-21,LICUADORA,0
2025-11-21,SANDUCHERA,1
2025-11-21,OLLAARROCERA,0
2025-11-21,CAFETERA,0
2025-11-21,BATIDORAMANO,0
2025-11-21,PARRILLASANDUCHERA,0
2025-11-21,SPLIT,1
2025-11-21,TV65,0
2025-11-21,TV55,0
2025-11-21,PARLANTERECARGABLE,0
2025-11-21,CELULARREDNI,0
2025-11-21,REFRIGERADORA,0
2025-11-21,MIMOSAFRUTOSROJOS,8
2025-11-21,GRANDDUVALBLANCO375CC,4
2025-11-21,GRANDDUVAL750CC,0
2025-11-21,MONTSANT,10
2025-11-21,SIDRAL,0
2025-11-21,SUERTEPROXIMA,500
2025-11-22,TAZAS,40
2025-11-22,BOMBILLOS,80
2025-11-22,SUPEREXITO-20,8
2025-11-22,SUPEREXITO-25,1
2025-11-22,DMUJERES-20,2
2025-11-22,POLIPAPEL-10,0
2025-11-22,KRISPYKREME,20
2025-11-22,TRIODONAS,8
2025-11-22,ENTRADASCINE,25
2025-11-22,PARRILLAASADORA,1
2025-11-22,AIRFRYER,0
2025-11-22,LICUADORA,0
2025-11-22,SANDUCHERA,0
2025-11-22,OLLAARROCERA,1
2025-11-22,CAFETERA,0
2025-11-22,BATIDORAMANO,0
2025-11-22,PARRILLASANDUCHERA,0
2025-11-22,SPLIT,0
2025-11-22,TV65,0
2025-11-22,TV55,1
2025-11-22,PARLANTERECARGABLE,0
2025-11-22,CELULARREDNI,0
2025-11-22,REFRIGERADORA,0
2025-11-22,MIMOSAFRUTOSROJOS,8
2025-11-22,GRANDDUVALBLANCO375CC,10
2025-11-22,GRANDDUVAL750CC,0
2025-11-22,MONTSANT,10
2025-11-22,SIDRAL,5
2025-11-22,SUERTEPROXIMA,500
2025-11-23,TAZAS,40
2025-11-23,BOMBILLOS,80
2025-11-23,SUPEREXITO-20,8
2025-11-23,SUPEREXITO-25,1
2025-11-23,DMUJERES-20,2
2025-11-23,POLIPAPEL-10,0
2025-11-23,KRISPYKREME,20
2025-11-23,TRIODONAS,8
2025-11-23,ENTRADASCINE,25
2025-11-23,PARRILLAASADORA,1
2025-11-23,AIRFRYER,0
2025-11-23,LICUADORA,0
2025-11-23,SANDUCHERA,0
2025-11-23,OLLAARROCERA,1
2025-11-23,CAFETERA,0
2025-11-23,BATIDORAMANO,0
2025-11-23,PARRILLASANDUCHERA,0
2025-11-23,SPLIT,0
2025-11-23,TV65,0
2025-11-23,TV55,0
2025-11-23,PARLANTERECARGABLE,0
2025-11-23,CELULARREDNI,0
2025-11-23,REFRIGERADORA,0
2025-11-23,MIMOSAFRUTOSROJOS,8
2025-11-23,GRANDDUVALBLANCO375CC,10
2025-11-23,GRANDDUVAL750CC,0
2025-11-23,MONTSANT,10
2025-11-23,SIDRAL,8
2025-11-23,SUERTEPROXIMA,500
2025-11-27,TAZAS,40
2025-11-27,BOMBILLOS,80
2025-11-27,SUPEREXITO-20,5
2025-11-27,SUPEREXITO-25,0
2025-11-27,DMUJERES-20,2
2025-11-27,POLIPAPEL-10,0
2025-11-27,KRISPYKREME,20
2025-11-27,TRIODONAS,8
2025-11-27,ENTRADASCINE,25
2025-11-27,PARRILLAASADORA,1
2025-11-27,AIRFRYER,0
2025-11-27,LICUADORA,0
2025-11-27,SANDUCHERA,0
2025-11-27,OLLAARROCERA,0
2025-11-27,CAFETERA,0
2025-11-27,BATIDORAMANO,1
2025-11-27,PARRILLASANDUCHERA,0
2025-11-27,SPLIT,0
2025-11-27,TV65,0
2025-11-27,TV55,0
2025-11-27,PARLANTERECARGABLE,0
2025-11-27,CELULARREDNI,0
2025-11-27,REFRIGERADORA,0
2025-11-27,MIMOSAFRUTOSROJOS,0
2025-11-27,GRANDDUVALBLANCO375CC,5
2025-11-27,GRANDDUVAL750CC,0
2025-11-27,MONTSANT,10
2025-11-27,SIDRAL,8
2025-11-27,SUERTEPROXIMA,500
2025-11-28,TAZAS,40
2025-11-28,BOMBILLOS,80
2025-11-28,SUPEREXITO-20,5
2025-11-28,SUPEREXITO-25,0
2025-11-28,DMUJERES-20,2
2025-11-28,POLIPAPEL-10,0
2025-11-28,KRISPYKREME,20
2025-11-28,TRIODONAS,8
2025-11-28,ENTRADASCINE,25
2025-11-28,PARRILLAASADORA,1
2025-11-28,AIRFRYER,0
2025-11-28,LICUADORA,0
2025-11-28,SANDUCHERA,0
2025-11-28,OLLAARROCERA,0
2025-11-28,CAFETERA,0
2025-11-28,BATIDORAMANO,1
2025-11-28,PARRILLASANDUCHERA,0
2025-11-28,SPLIT,0
2025-11-28,TV65,0
2025-11-28,TV55,0
2025-11-28,PARLANTERECARGABLE,0
2025-11-28,CELULARREDNI,0
2025-11-28,REFRIGERADORA,0
2025-11-28,MIMOSAFRUTOSROJOS,0
2025-11-28,GRANDDUVALBLANCO375CC,5
2025-11-28,GRANDDUVAL750CC,0
2025-11-28,MONTSANT,10
2025-11-28,SIDRAL,8
2025-11-28,SUERTEPROXIMA,500
2025-11-29,TAZAS,40
2025-11-29,BOMBILLOS,80
2025-11-29,SUPEREXITO-20,9
2025-11-29,SUPEREXITO-25,0
2025-11-29,DMUJERES-20,2
2025-11-29,POLIPAPEL-10,0
2025-11-29,KRISPYKREME,20
2025-11-29,TRIODONAS,8
2025-11-29,ENTRADASCINE,30
2025-11-29,PARRILLAASADORA,1
2025-11-29,AIRFRYER,0
2025-11-29,LICUADORA,0
2025-11-29,SANDUCHERA,0
2025-11-29,OLLAARROCERA,0
2025-11-29,CAFETERA,0
2025-11-29,BATIDORAMANO,1
2025-11-29,PARRILLASANDUCHERA,0
2025-11-29,SPLIT,1
2025-11-29,TV65,0
2025-11-29,TV55,0
2025-11-29,PARLANTERECARGABLE,0
2025-11-29,CELULARREDNI,0
2025-11-29,REFRIGERADORA,0
2025-11-29,MIMOSAFRUTOSROJOS,0
2025-11-29,GRANDDUVALBLANCO375CC,10
2025-11-29,GRANDDUVAL750CC,0
2025-11-29,MONTSANT,10
2025-11-29,SIDRAL,8
2025-11-29,SUERTEPROXIMA,500
2025-11-30,TAZAS,40
2025-11-30,BOMBILLOS,80
2025-11-30,SUPEREXITO-20,9
2025-11-30,SUPEREXITO-25,0
2025-11-30,DMUJERES-20,2
2025-11-30,POLIPAPEL-10,0
2025-11-30,KRISPYKREME,20
2025-11-30,TRIODONAS,8
2025-11-30,ENTRADASCINE,30
2025-11-30,PARRILLAASADORA,1
2025-11-30,AIRFRYER,0
2025-11-30,LICUADORA,0
2025-11-30,SANDUCHERA,0
2025-11-30,OLLAARROCERA,0
2025-11-30,CAFETERA,0
2025-11-30,BATIDORAMANO,0
2025-11-30,PARRILLASANDUCHERA,1
2025-11-30,SPLIT,1
2025-11-30,TV65,0
2025-11-30,TV55,0
2025-11-30,PARLANTERECARGABLE,0
2025-11-30,CELULARREDNI,0
2025-11-30,REFRIGERADORA,0
2025-11-30,MIMOSAFRUTOSROJOS,0
2025-11-30,GRANDDUVALBLANCO375CC,10
2025-11-30,GRANDDUVAL750CC,0
2025-11-30,MONTSANT,10
2025-11-30,SIDRAL,8
2025-11-30,SUERTEPROXIMA,500
2025-12-04,TAZAS,40
2025-12-04,BOMBILLOS,90
2025-12-04,SUPEREXITO-20,5
2025-12-04,SUPEREXITO-25,0
2025-12-04,DMUJERES-20,2
2025-12-04,POLIPAPEL-10,0
2025-12-04,KRISPYKREME,20
2025-12-04,TRIODONAS,8
2025-12-04,ENTRADASCINE,25
2025-12-04,PARRILLAASADORA,
2025-12-04,AIRFRYER,1
2025-12-04,LICUADORA,0
2025-12-04,SANDUCHERA,0
2025-12-04,OLLAARROCERA,0
2025-12-04,CAFETERA,0
2025-12-04,BATIDORAMANO,0
2025-12-04,PARRILLASANDUCHERA,0
2025-12-04,SPLIT,0
2025-12-04,TV65,0
