Metric,Value
Date,2025-11-21
TotalSpins,500
TotalSuerteProxima,304

PrizeID,PrizeName,Delivered
TAZAS,TAZAS PERSONALIZADAS,40
BOMBILLOS,BOMBILLOS PERSONALIZADOS,71
SUPEREXITO-20,OC SUPER ÉXITO $20,5
DMUJERES-20,OC DMUJERES $20,2
KRISPYKREME,OC KRISPY KREME,20
TRIODONAS,TRIO DE DONAS,8
ENTRADASCINE,ENTRADAS AL CINE,25
PARRILLAASADORA,PARRILLA ASADORA,1
SANDUCHERA,SANDUCHERA,1
SPLIT,SPLIT,1
MIMOSAFRUTOSROJOS,MIMOSA FRUTOS ROJOS,8
GRANDDUVALBLANCO375CC,GRAND DUVAL BLANCO 375CC,4
MONTSANT,MONTSANT,10
SUERTEPROXIMA,SUERTE PARA LA PRÓXIMA,304
