Metric,Value
Date,2025-11-27
TotalSpins,600
TotalSuerteProxima,371

PrizeID,PrizeName,Delivered
TAZAS,TAZA PERSONALIZADA,40
BOMBILLOS,BOMBILLO PERSONALIZADO,79
SUPEREXITO-20,OC SUPER ÉXITO $20,5
DMUJERES-20,OC DMUJERES $20,2
KRISPYKREME,OC KRISPY KREME,20
TRIODONAS,TRIO DE DONAS,8
ENTRADASCINE,ENTRADA AL CINE,25
PARRILLAASADORA,PARRILLA ASADORA,1
BATIDORAMANO,BATIDORA DE MANO,1
GRANDDUVALBLANCO375CC,GRAND DUVAL BLANCO 375CC,5
MONTSANT,MONTSANT,10
SIDRAL,SIDRAL,8
SUERTEPROXIMA,SUERTE PARA LA PRÓXIMA,371

ExtraPrizeID,PrizeName,Delivered
BOMBILLOS_EXTRA,BOMBILLO PERSONALIZADO,13
TAZAS_EXTRA,TAZA PERSONALIZADA,12
